MII_1_ratio	MII_2_ratio	MII_3_ratio	MII_4_ratio	MII_5_ratio	MII_6_ratio	MII_7_ratio	MII_8_ratio	MII_9_ratio	MII_10_ratio	MII_11_ratio	MII_12_ratio	MII_Bulk_ratio	X2i_1_ratio	X2i_2_ratio	X2i_3_ratio	X2i_4_ratio	X2i_5_ratio	X2i_6_ratio	X2i_7_ratio	X2i_8_ratio	X2i_9_ratio	X2i_10_ratio	X2i_11_ratio	X2i_12_ratio	X2i_Bulk_ratio	Ser_1_ratio	Ser_2_ratio	Ser_3_ratio	Ser_4_ratio	Ser_5_ratio	Ser_6_ratio	Ser_7_ratio	Ser_8_ratio	Ser_9_ratio	Ser_10_ratio	Ser_11_ratio	Ser_12_ratio	Ser_13_ratio	Ser_14_ratio	Ser_15_ratio	Ser_16_ratio	Ser_17_ratio	Ser_18_ratio	Ser_19_ratio	Ser_20_ratio	Ser_Bulk_ratio	MII_2D_ratio	MII_5D_ratio
Olfr520	NA	1	0.5	NA	1	1	0.5	NA	1	NA	1	1	1	0.25	NA	1	0.75	0.5	0.25	0.5	0.5	0.5	0.5	NA	1	0.5	1	NA	0.5	0.75	1	0.5	1	1	0.5	1	1	NA	0.5	0.75	0.75	0.5	1	1	1	1	0.75	1	1
Olfr527	0	0	0.5	0	NA	0	NA	0.25	0	0	0	0	0	0.5	NA	NA	0.5	0.5	NA	NA	NA	0	0	0.5	NA	0.5	1	0.75	0.5	0.75	1	0	NA	1	1	1	1	NA	0.75	1	0.5	0.5	0.75	1	0.75	0.75	0.75	0.25	0
Olfr525	0.25	0	0	NA	0	NA	NA	0	NA	NA	0	NA	0	1	0.5	NA	0.75	0.75	0	0.25	NA	NA	0	0	1	0.5	1	NA	0.75	1	1	0	1	1	1	1	NA	NA	NA	1	0.75	0.25	NA	NA	1	1	0.75	0	0
Olfr524	0.25	0	0	0.25	0	0	NA	0.25	0.5	0.25	NA	0	0.25	0.75	0.25	1	0.75	1	0.25	0.5	0.25	0.75	1	0	0.75	0.5	1	1	0.5	1	1	0.25	1	1	1	1	1	1	0.75	0.75	1	0.75	1	1	1	0.75	0.75	0	0.25
Gm10640	NA	0	0	NA	0	0	NA	NA	0	NA	NA	0.5	0	0	1	NA	0	NA	0	0.25	NA	NA	0.25	NA	1	0.25	1	1	0.25	0.25	0	0	NA	0.75	0.5	1	NA	NA	0.25	NA	0.5	0	0.75	1	0.75	0.25	0.5	0	0
Gm10649	0	0	0	0	0	0	0	NA	0	0	0	0.25	0	0	0.5	0	0	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0	0.25	0.25	0	0.5	0.25	0	0	0.25	0.5	0	0.25	0.5	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0	0	0
Zik1	0	0	0	NA	0	0	NA	0	1	NA	NA	0	0	NA	0.5	0	0	NA	0	0	0	NA	0	NA	0	0	0.5	NA	0	0	NA	1	0.25	NA	0	0.25	NA	0.5	NA	0.25	0.5	1	0	0	0	0.25	0.25	0	0
8430426J06Rik	1	1	1	1	1	1	NA	0.75	1	1	1	1	1	NA	1	0	0	0.5	NA	0.5	0.25	0.75	0	1	NA	0.25	0.75	1	0.75	1	1	0.25	1	0.75	1	1	1	0.75	1	0.75	NA	0.75	1	1	0.75	1	0.75	1	1
Usp8	NA	0	0	0	0	0	0	0	0	NA	0	0	0	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0.25	0	NA	0	NA	0	0.5	NA	NA	0	NA	0	0.5	0	0	0	0.75	0	NA	NA	0.25	0	0
Usp1	0	0	0	0	0	0	0.5	0.5	0	0.25	0	0.25	0	0	0	0	0.25	0	0.25	0	0.25	0	0	0.75	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0
Usp2	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0.5	0.25	0	0.25	0	0.25	0.25	0	0.25	0	0.25	0	0.25	0.25	0	0.25	0	0	0.25	0.25	0.25	0.5	0.25	0.25	0	0.25	0.5	0.25	0.75	0.25	0.5	0.5	0.25	0	0
Usp3	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0.25	0.5	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0.75	0	0	0	0	0	0.25	0	0	0	0	0
Usp4	0	0.5	0	NA	0	0	0.5	0	NA	0	0.25	0	0	0	NA	0	0	0	0	0	0	0	0.5	0	0	0	0	NA	0	0	0.75	0	NA	0	0	0	0.25	0.25	0	0	0.5	0	0	0	0	0	0	0.25	0
Usp5	0	0	0.25	0.5	0	0	0	0.25	0	1	NA	0.25	0.25	0	NA	0	0	NA	0.25	0	0	0.25	0.25	0	0	0	0	NA	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0.25	0.25
Usp7	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0.25	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rpl38	0	0.25	0.25	NA	0	0.5	NA	0	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	NA	0.25	0.25	0.25	0.25	0.5	0	0.25	0	0.5	NA	0	0	0	0.5	0.25	0	0.25	0	0.25	0.25
Rpl39	0	0	0	0	0	0	NA	NA	0.5	0	NA	0.75	0	NA	NA	NA	0	NA	0	0.75	NA	NA	0	0	0.5	0	1	1	NA	NA	0.75	NA	NA	NA	0.5	0	NA	0	NA	0	NA	0	NA	1	0	NA	0	0	0
Rpl36	0.5	0.25	0.25	0	0.25	0.25	NA	0	0.25	0.75	0.5	0.25	0.25	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
Rpl37	0	0	0	NA	0	0	NA	0	0	NA	0.25	NA	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	0	0	0	0.25	0	0	NA	0	NA	NA	0	NA	0	0	0	0.5	0.5	0.25	NA	0	0.25	NA	0.25	0	0
Rpl35	0.75	0.25	0	0.75	0	0.25	NA	NA	0.25	0	0	NA	0.25	0	0	0	0	NA	0.5	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0.25	0	0	0	0	0.5	0	0	0	0	0.25	0
Rpl32	NA	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	1
Rpl30	0	0.25	0	0	0.25	0.25	1	0	0	0	1	0	0	0	NA	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	NA	0	NA	0	0	0.25	0	NA	0	0	0	0	0	NA	0	0	0	0.25
Rpl31	0	0	0	0	0.25	0	0	0	0	0	NA	0.25	0	NA	0	0.25	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0.25
Anp32e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0.25	0.25	0	0	0	0.5	0.25	0	0	0.5	0	0	0	0	0	0	0.25	0	0	0	0	0	0.25	0.25	0.25	0	0	0
Fam13b	0	0	0	0	0	0	0	0	0	0	0.25	0	0	NA	1	0.25	0	0	1	0	0.5	0	1	NA	0	0	NA	NA	0	0.25	0	0	1	0	0	0	0.75	0	0	0	0	0	0	0.25	0	0	0	0	0
Fam13c	0	0	0.25	0.5	0.5	0.5	NA	0	NA	0	0.75	0.75	0.25	0	NA	1	0.5	0.25	0.5	0	0	0	0	0	0	0	NA	0.25	NA	1	1	0	0.25	0.5	0.25	0.5	0.25	0	1	0	0.5	0	0.25	0	0.25	0.75	0.25	0	0.25
Fam13a	NA	0	0	NA	0	0	0	NA	NA	NA	NA	NA	0	0	NA	0	0.5	0.25	0	0	1	1	NA	NA	0	0.25	0	NA	0.75	NA	0.5	NA	1	0	0.25	NA	0	NA	NA	0.25	1	NA	NA	NA	NA	NA	0.5	0	0
Bcas2	0.25	0	0.25	0	NA	0.25	NA	0	NA	0	NA	0	0	0	0.25	NA	0.25	0.25	0	0.5	0.5	0	0	0	NA	0	0	0	0	0	0.25	0	NA	NA	NA	1	NA	0	0.25	0.5	0	0	0	0	0	0	0.25	0.25	0.75
Bcas3	1	1	1	1	1	1	0.5	NA	1	0.75	NA	NA	1	0	0	0	0	0.25	0.25	NA	0	0	0.5	NA	0	0	0	0.25	NA	NA	0	0	NA	0.25	0	0.25	1	NA	0.25	0	0.25	0	0	NA	0	0	0.25	1	1
Bcas1	0	0	0	0	0	0	0	0	0	0	0	NA	0	0.5	0	NA	0	0.5	0	0.5	0	0.25	0.25	0	0.75	0.25	1	1	NA	0.75	0.5	0.25	1	1	0.5	1	NA	1	NA	0.5	NA	0.75	1	1	0.75	1	0.75	0	0
Gm8369	0	0	0.5	0	NA	0	NA	0.5	0	NA	NA	0	0	NA	NA	NA	1	0.5	0	0.25	0	1	0	NA	NA	0.25	NA	NA	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	0.25	NA	0	1	1	0.75	0	0
Gm8363	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.75	0.75	0	0.25	0.75	0	0.25	0.25	0.5	0	0.25	0.75	0.5	1	0.5	0.5	0.5	1	0.5	1	0.5	0.75	0.75	0.75	0	0.25	0.5	1	0.75	0.75	0.75	0.75	0.75	0.75	0	0
Hist3h2ba	0.25	0	0.25	NA	0	0	0	0.25	0.25	0	0.25	0.25	0.25	0	0	NA	0.25	0.25	0	0	0	0	NA	0	NA	0	NA	0.25	NA	0.25	0.25	0.25	0.25	0.25	0.25	0.25	NA	NA	0.25	0.25	0	0.25	0.25	0.5	0	0.25	0.25	0	0.25
Mlycd	0	0	0	0	0	0	0	0.25	0.25	0	0.25	0	0	0	0.25	0.25	0	0	0.25	0	0	0	0.25	0	0	0	0.25	0.25	0.25	0.25	0.75	0	0.75	0.75	0	0.25	0.25	0.75	0	0	0.25	0.25	0.25	0	0	0	0.25	0	0
Hist4h4	0	0	0	0	0.25	0	NA	0	0	NA	NA	0	0	0	NA	NA	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0.25	0	NA	0	0.5	0	0	0	0.25	0	0.25	0	0
Rpl3l	0	0.25	0	0.5	0.5	0	0	0.25	0.25	0.5	0	0	0.25	0.25	NA	0.5	0.25	0.25	0	0.5	0	0.5	0.25	0	1	0.25	1	0.5	0.5	0.5	0.5	0.25	0.75	1	0.75	0.5	1	1	0.5	0.75	0.75	0.75	1	0.5	0.75	0.75	0.75	0	0.5
Ttbk2	0	0	0	0	0	0	0	NA	0	0	1	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0.25	NA	0	NA	NA	NA	NA	NA	0	0	0	0
Ammecr1l	0	0.25	0	0	0	0	0	0	0.25	0	0.25	0	0	0.25	NA	0.5	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	1	0	0	0.25	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0.25	0.25	0
Ttbk1	0	0	0	0	0	0	0	0	0	0.5	0	0	0	NA	NA	0.25	0	0.25	0.5	0	0.25	0	0	0	NA	0	1	1	0.25	1	0.5	0.25	NA	0.5	0.25	0	0	0	0.25	0.25	0.5	0.25	0	0.5	0.25	0	0.25	0	0
Ncor2	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.25	0.25	0	0	0.25	0.25	0	0.25	0	1	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0.25	0	0	0	0	0	0	0	0	0	0	0
Ncor1	1	1	1	0.75	NA	NA	0.5	NA	NA	NA	1	1	1	0.5	NA	0	0	NA	0	0.25	0	NA	0	0	NA	0	1	NA	0	0.75	1	0.25	1	NA	0	0	NA	NA	NA	0.5	1	0.25	1	0.5	NA	0.5	0.5	1	1
1810010D01Rik	0.75	1	1	1	0.75	0.75	NA	1	0.75	1	NA	0.75	1	1	0	0.25	0.75	NA	0	0.75	0	0.5	1	0	0.25	0.25	0.25	NA	0.5	0.25	0.5	0	0.25	1	0	0.25	0.25	1	0	0.25	0.75	0.25	0.25	0.75	0.25	0.25	0.5	1	1
Pebp1	0	0	0	0.25	0	0.25	0.25	0	0.5	0	0.25	0.25	0.25	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0.75	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0.25	0.25	0	0
Gkn1	0	0	0.25	0	0	0	0	NA	NA	NA	NA	0	0.25	0	NA	0.75	0.25	0.25	NA	0.75	0.25	0.25	1	0	0.75	0.25	NA	1	0.75	1	1	NA	NA	1	0.75	NA	1	1	0.25	0.75	1	0.75	1	1	0	1	0.75	0	0
Gkn2	0	0	0	0	0.25	0	NA	0.5	NA	0	NA	0	0	0.5	0.75	NA	0.5	0.75	0.25	0.5	0	0.5	0.25	0	0.75	0.25	1	1	NA	NA	1	0.25	1	1	1	1	1	1	NA	1	1	0.75	NA	NA	1	NA	1	0	0.25
Gkn3	0	0	0	1	0	0	NA	0.5	0	NA	0	0	0	1	0.5	0.75	0	0.75	0.25	0.75	0.25	0	0	0.25	1	0.25	1	1	0.75	0.75	1	1	NA	1	1	1	1	1	1	0.75	1	0.75	NA	NA	1	1	0.75	0	0
Magohb	0	0.25	0	NA	0	0	NA	NA	NA	1	NA	0	0.25	NA	1	NA	0	NA	NA	0.5	0	0	0.25	NA	NA	0.25	0.75	0	0.5	0.5	NA	0.25	0.75	NA	1	NA	NA	1	NA	0.25	0.5	0.5	1	NA	0.75	NA	0.5	0	0
Ankrd50	0.25	0	0	NA	0	0	0	0	0	0	1	0	0.25	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0.75	0	0	0	1	0.25	0.25	0	0	1	0	0	0	0	1	0	0.25	0	0.25	0	0
Ppme1	0	0	0	NA	NA	0	NA	0.25	0.5	1	0	0.75	0	0.25	0	NA	0.25	0.25	1	0	NA	0	1	NA	NA	0	0	1	NA	0.25	0.25	0	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0.5	NA	0.75	0.25	0	0	1
Gltpd2	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0.25	0	0	0.25	0	0	0	0	0	0	0.5	0	0.75	0.25	0	0	0	0	0.25	0.25	0	0.25	0.25	0	0	0.25	NA	0	0.5	0.5	NA	0.25	0.25	0	0
Gm19276	1	1	1	NA	NA	1	NA	0	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0.25	0.5	1	0.5	NA	1	0	0	1	0.5	0.75	NA	1	1	1	NA	1	NA	0.75	0.75	NA	0.75	1	1
Cep164	0	0.25	0	NA	0	0	NA	0	0	0.25	0	0.25	0	0.75	0.25	0.5	0	0.25	0.25	0.75	0.25	0.25	0	0	0.25	0	0	0	0.25	0	0.25	0	0.25	0.5	1	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0.75	0.25	0	0.25	0	0
Cep162	NA	0.25	0	0	NA	0	0	NA	0	NA	0.75	1	0.25	0	NA	NA	NA	0.5	0	0.5	NA	0	0	NA	0.25	0.25	0	1	NA	NA	0	0.25	NA	NA	NA	0	NA	0	NA	0.25	0.5	0.5	1	0.25	0.75	0	0.25	0	0
Gm14015	NA	1	0.75	NA	NA	NA	NA	1	NA	1	NA	1	1	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0.25	1	NA	0	NA	0.5	0	NA	NA	1	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	0.75	1	1
Lrriq1	0	0	0	0	0	0	NA	0.5	0.5	NA	NA	0	0.25	0	0.5	NA	0.25	0	0	0.25	0	0.5	0.25	0	0.5	0	0	1	0.25	0	0.25	0.25	0.25	0.5	NA	1	1	1	NA	0.25	0.5	0.5	1	NA	0.5	0	0.5	0	0
Lrriq3	0	0.25	0	0	NA	NA	1	0	1	0	1	0	0	1	NA	0.25	0.25	0.25	0.25	0.25	1	0.25	1	NA	NA	0	0.25	0.25	0.5	NA	0	0	NA	0.25	0.5	0.5	1	0.75	1	0	1	1	1	0.25	0.5	0.25	0.25	0	0
Lrriq4	NA	0.75	0.75	NA	0.75	1	NA	NA	NA	1	NA	NA	1	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0.75	0	0.25	0	0.25	0	1	0	0	0	0.75	1	0.25	0.25	NA	0.5	0.25	0.5	0.25	0.5	0.25	0.75	0.75
Vmn2r84	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	0.25	NA
Vmn2r85	NA	NA	NA	NA	0.25	0	NA	NA	NA	NA	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	0.5	NA	NA	0.25	1	NA	NA	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	0	NA	1	NA	1	1	0	0.25
Vmn2r86	NA	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.75	0.25	1
Vmn2r87	NA	0	0.25	NA	NA	0.25	NA	NA	NA	NA	NA	0	0.5	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	0.25	1	NA	0	1	1	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	1	NA	0	0.75	0	0
Gm15760	0	0	0	NA	0	0	NA	0.25	0	0	0	0	0	0	0	0.25	0	0	0	1	0	0	0	NA	0	0	0.25	0	0	0	0.25	0.25	0	0.25	0	0	0.5	1	1	0	0.25	0.5	0	0.25	0.5	0.75	0.25	0	0
Vmn2r81	NA	0.25	NA	NA	NA	1	NA	0	0.5	0.5	NA	0.25	0.5	1	1	NA	NA	1	NA	NA	NA	NA	NA	0	NA	0.5	NA	0.75	0.5	1	NA	0	1	1	1	1	0.75	NA	NA	0.5	1	1	NA	NA	NA	0.5	0.75	0.25	0.75
Vmn2r82	NA	0	0.25	NA	0	NA	NA	0.25	0	NA	NA	NA	0.25	NA	NA	NA	0.5	NA	NA	0.5	NA	0	0	1	1	0.5	1	1	NA	1	1	1	1	1	0.75	1	1	1	NA	0.5	NA	0.5	NA	0.75	NA	1	1	0.5	0.25
Vmn2r83	NA	1	0	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.75	NA	0
Tinf2	0	0	0.25	0	0.25	0.25	0.25	0.25	0.5	0	0.5	0.5	0.25	0.75	0	0.25	0.5	0.25	0.5	0.5	0.25	0	0.25	0.75	0	0	0.25	0.25	0.25	0.25	0	0.25	0.25	0.5	0	0	0.5	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	0.5	0.25	0	0.25
Vmn2r88	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.25	0.25	0
Vmn2r89	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0	0
Egf	1	0.75	1	1	1	1	NA	1	NA	NA	1	1	1	0.75	0.5	0.75	0.5	NA	0	0.75	NA	0.5	NA	0.25	0	0.25	NA	0.25	0.5	NA	0.25	0.25	1	NA	0.25	1	1	0.25	1	0.5	NA	NA	0.75	NA	0.5	0.5	0.75	1	1
Slc4a11	0	0	0	0	0	0	0	0.5	0	0	0	0.25	0	0.5	0	0.5	0.25	0	0.25	0	0	0.25	0.25	0.5	0.25	0	0	0	0	0	0.5	0	0	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0	0.25	0	0	0.25	0.25	0	0
Slc4a10	1	1	1	NA	1	1	NA	NA	1	NA	NA	NA	0.75	NA	NA	NA	0.25	0.75	NA	0.75	0	0.5	0	0	NA	0	1	0.5	0.25	0.75	0.5	0.5	0	1	0.75	0.75	0	1	0	0.75	NA	NA	NA	1	0.5	0.75	0.5	1	0.75
4930519G04Rik	0.25	0	0	0	0	0	NA	0	0	0	0	0.5	0	0.75	0.5	0	0	0	0	0.75	NA	0.5	0.75	0.25	0.5	0.25	1	1	NA	0.75	0.75	0.25	1	1	0.75	1	0.75	1	NA	1	1	0.5	0.75	0.75	0.75	0.75	0.75	0	0
BC026585	NA	1	1	NA	NA	1	NA	NA	0.75	1	1	1	1	0.5	0.25	0.25	0.75	0.75	1	0.25	0	0	0	0.25	1	0.25	0.5	0	0.25	0.25	1	0.5	0.25	1	0.75	0.25	0.5	1	0.75	0.5	0.75	0.25	1	1	0.5	NA	0.5	1	1
1700013D24Rik	0	0	0	NA	0.25	0	NA	NA	NA	NA	NA	0	0	0.75	NA	NA	1	NA	NA	0.25	1	NA	0	NA	0	0.25	NA	NA	NA	1	NA	0	NA	NA	1	0.75	NA	1	NA	NA	0.25	1	1	NA	NA	NA	0.75	0	0
Ptprz1	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0.25	0.25	0.25	0.5	0.5	0	0	0.5	0	0	0.75	0	0	0.25	0.5	0.5	0	0.5	0.25	0.25	0	0.25	0.25	0.5	0.5	0	0	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0	0
Pold1	1	0.25	0.5	0.75	0.25	0.5	1	1	1	1	1	1	0.5	0.5	0.25	1	0.5	0.75	0.25	0.25	0.25	0	1	0	0.5	0.25	0.75	0.5	0.25	0.25	0.5	0	0.25	1	0.25	0.25	1	0.75	0.5	0.5	1	0.25	0.25	0.75	0.25	0.5	0.5	0.25	0.5
Pold2	0	0	0.25	0	0	0.75	NA	NA	0.75	0.5	0	0.25	0.25	0	0	0	0.75	0.25	0.25	NA	0.25	0	0	1	0	0	0	NA	0.25	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0.25	0	0.25	0.5	0.25	0.25	0.25	0	0
Pold3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0.25	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	0	0.25	0	0	0.25	NA	0	0	NA	0.25	0	0	0	0
Pold4	0.25	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0.25	0.25	0.5	0.75	0.5	0.25	0.25	0.5	0	0.25	0	0	0	0.25	0.25	1	0.25	0.75	1	0.5	0.5	1	0.5	0.5	1	0.5	0.75	0.5	0.25	0.5	0.75	0.5	0.75	0.5	0.5	0	0
Hdac1	1	0	0.25	0.25	0	0	NA	0	0	0.25	NA	0.25	0.25	0	1	0.25	0.25	1	0.25	0	1	0	1	0	0	0	0	0.25	0.5	0.5	0.25	0	0.25	0.25	0	0	0	0.5	0.25	0	1	0	0.25	0	0.25	0.25	0	0.25	0
Hdac3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.5	NA	NA
Hdac2	0	0	0	0	0	0	0.5	0	0	0.75	0.25	0.75	0	0.25	0.25	0.75	0.25	0	0.25	0.25	0.25	0.25	0.25	0	NA	0	0	0	1	0.75	0.25	0.5	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0	0.25	0.25	0.75	0.5	0.5	0.5	0	0	0
Hdac4	1	0.5	1	0	1	1	NA	NA	0	NA	NA	NA	1	1	NA	NA	0.5	0	0.5	NA	0	0.5	1	NA	NA	0.25	1	0.5	1	0	0	0.5	0	0	0.75	0.5	1	0.5	NA	0.5	0	0.75	0.75	0.5	0.75	0.75	0.75	0.5	1
Itch	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	NA	0	0	0.25	NA	0	NA	0	0.75	0	0.25	0	0	NA	0	0.25	0	0	1	0	0	0	0	0.25	0.5	0	0	0	1	0	0.25	NA	0.25	0	0
Hdac6	0	0	0	NA	0	0	0	0	0	NA	0	0.25	0.25	NA	0	NA	0	0	0.5	0	NA	0	NA	0	0	0	0.5	0.25	NA	0	1	0.5	1	0.5	NA	0	0	0.25	NA	0.25	0	NA	0.5	0.25	1	0.5	0.25	0	0.25
Hdac9	1	0.25	1	NA	1	1	1	0	0.5	1	1	0.5	1	0.75	0.25	NA	0.5	0.5	0.25	0.5	0.25	0	0.25	0.25	0.25	0.25	0.75	1	1	0.5	1	1	0.5	0.75	1	1	0.5	1	0.5	0.75	1	1	1	1	1	1	0.75	0.75	1
Hdac8	0	0	0	NA	0	0	NA	NA	0	NA	0	NA	0	0	0	NA	0	NA	NA	0.5	NA	0	0	0	NA	0	0.25	0.75	0.25	0	NA	0	NA	0.5	NA	0	NA	1	NA	0	1	0	NA	0.25	0	0	0	0	0
Gmpr	0	0	0	0.25	0	0	0	0	0	0	0	NA	0	0	0	NA	0	0	0.5	0	0	0	0	0	NA	0	0	NA	0	0	0.5	0	0	0.25	0	0	0	0	0	0	0	0	0	NA	0	0.25	0.25	0	0
Gmps	0	0	0	NA	0	0	0.75	NA	0	0.5	0	0	0	0.25	NA	0.25	0.25	0.5	0	0.25	0.5	0	0.25	0.5	0.5	0	0.75	0	0.25	0.25	0	0.75	0.75	0	0	0.25	0.75	1	0.25	0	1	0.75	1	1	0.5	0	0.25	0	0
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0.5	0	0	0.25	0	0	0	0.25	0	0.25	0	0	0	0	0.25	0	0	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0
4930557J02Rik	NA	0	0.75	NA	1	1	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	0	NA	NA	NA	NA	0	NA	0.5	1	NA	NA	NA	NA	NA	1	1	NA	NA	0.75	NA	NA	1	NA	NA	NA	NA	NA	NA	0.75	0.75	1
Pvr	0	0.25	0	0	0	0	0	NA	NA	1	0	0	0.25	0	0	NA	0	0	NA	0.25	0	NA	0	0	0	0	0	1	0.25	0.75	0.25	0	0	0	0.5	0.25	0.5	1	NA	0.25	0	0	0	0	0	0.5	0.25	0.25	0
4732471J01Rik	0.25	0.5	0	0	0.5	0	0	1	0	0.25	0.25	0.75	0.5	0	0	0.5	0.5	0.25	0	0.25	0.5	NA	0	0.25	0	0.25	0.75	1	0.25	0.75	0.5	0	1	0.5	0.25	0.5	0.5	1	1	0.25	0.75	0.5	0.25	0.75	0.5	1	0.5	0.25	0.5
Lix1l	0	0.25	0	0	0	0	0	NA	0.25	0.5	NA	0	0.25	1	0	0.5	0	0	0.75	1	0	0.25	0.75	0	0.25	0	0.75	0.25	0	0.25	0	0	0	0	0	0.25	0	0.5	0.25	0.25	0	0.25	0.25	0.25	0	0.25	0.25	0	0.25
